<<<<<<< Updated upstream
title,organization,category,location,subject_area,deadline,grade_level,description,link,source,source_url,scraped_at
APL ASPIRE Program,APL ASPIRE Program,Internship,United States,"Mathematics, Data Science, Environmental Science",,"Juniors, Seniors","The ASPIRE program at The Johns Hopkins University Applied Physics Laboratory (APL) offers high school juniors and seniors the opportunity to explore STEM careers through a hands-on, professional internship experience. Interns are paired with APL staff mentors to work on projects, solve problems, and develop both technical and interpersonal skills. The program is unpaid and focuses on providing a supportive learning environment rather than a traditional job experience. It aims to be accessible...",https://secwww.jhuapl.edu/stem/aspire/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Earplay Donald Aird Composers Competition,Earplay Donald Aird Composers Competition,Competition,United States,Arts Performance,,"Freshmen, Juniors, Seniors, Sophomores","The Earplay Donald Aird Composers Competition is an annual event sponsored by Earplay, open to composers of any nationality and age. The competition celebrates the legacy of Donald Aird, a composer, conductor, and former Earplay board member dedicated to the creation and performance of new music. Participants can submit compositions for 1 to 6 players, with or without electronics, and of any duration, though 8-15 minutes is preferred. The winner receives a $1,000 cash prize and the opportunity...",https://www.earplay.org/donald-aird-competition,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Games for Change Student Challenge,Games for Change Student Challenge,Competition,United States,"Environmental Science, Engineering, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","The Games for Change Student Challenge is an annual competition that invites students to submit original games, writing, and artwork. Open to middle and high school students, the competition is divided into Junior and Senior Divisions based on grade level or age. The challenge encourages participants to create games focusing on themes such as environmental sustainability and community improvement. Winners receive recognition on an international scale, along with prizes including games,...",https://gamesforchange.org/studentchallenge/about-the-competition/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Purple Comet! Math Meet!,Purple Comet! Math Meet!,Competition,United States,Mathematics,,"Freshmen, Juniors, Seniors, Sophomores","The Purple Comet! Math Meet is an annual team mathematics competition for middle and high school students. Since its inception in 2003, it has offered a platform for students to showcase their problem-solving skills in mathematics. The competition is conducted online, typically in April. Teams are supervised and can register at any time, with team registration already underway. The competition aims to provide problems in multiple languages, catering to a diverse group of students globally. It's...",https://purplecomet.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Reflections Arts Program - National PTA,Reflections Arts Program - National PTA,Competition,United States,"English Literature Writing, Arts Performance",,"Freshmen, Juniors, Seniors, Sophomores","The Reflections Arts Program by the National PTA offers students from Pre-K through Grade 12 the opportunity to express themselves and gain recognition in the arts. Each year, students create original works of art in response to a selected theme. The program encourages exploration of thoughts, feelings, and ideas, developing artistic literacy and confidence. Categories include Dance Choreography, Film Production, Literature, Music Composition, Photography, and Visual Arts. Students can...",https://www.pta.org/home/programs/reflections,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Babson Summer Study for High School Students,Babson Summer Study for High School Students,Summer Program,United States,Business,,"Juniors, Seniors","Babson Summer Study is a 3+ week experiential online program for rising high school juniors and seniors, focusing on developing an entrepreneurial mindset and becoming innovators and changemakers. Participants strengthen their understanding of the United Nations Global Goals, developing competencies and confidence to address real-world problems, seize opportunities, have an impact, and create change. The program includes live and asynchronous academic coursework, with participants expected to...",https://www.babson.edu/high-school-programs/apply/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Malott Family Zoo Intern Program - Lincoln Park Zoo,Malott Family Zoo Intern Program - Lincoln Park Zoo,Internship,Illinois,"Environmental Science, Biology",,"Juniors, Seniors, Sophomores","The Malott Family Zoo Intern Program at Lincoln Park Zoo offers a unique opportunity for Chicago high school students to gain hands-on experience in animal science and conservation fields. This seven-week paid internship runs from mid-June to early-August. Interns will learn about informal education techniques, communicate conservation messages to zoo guests, and work on a culminating project. They will also have the chance to meet with researchers and Animal Care staff to explore potential...",https://www.lpzoo.org/youth-programs/malott-family-zoo-intern-program-zip/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Virginia Tech ICPC,Virginia Tech ICPC,Competition,United States,Computer Science,,"Freshmen, Juniors, Seniors, Sophomores","The Virginia Tech ICPC (International Collegiate Programming Contest) team provides an opportunity for high school students to engage in competitive programming challenges. The VT ICPC hosts contests that allow students to demonstrate their problem-solving and programming skills in a competitive environment. Participation in the ICPC contests can be a valuable experience for students interested in computer science, offering them a chance to improve their coding abilities and compete against...",https://icpc.cs.vt.edu/#/hscontest,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
CyberPatriot's National Youth Cyber Defense Competition,CyberPatriot's National Youth Cyber Defense Competition,Competition,United States,"Data Science, Engineering, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","CyberPatriot's National Youth Cyber Defense Competition is a unique challenge that invites high school and middle school students to tackle cybersecurity vulnerabilities in virtual operating systems. Teams work to secure these systems, with top performers advancing through online rounds to potentially compete in the in-person National Finals. The competition is designed to be accessible to students with any level of cybersecurity knowledge, offering training materials and support. It represents...",https://www.uscyberpatriot.org/competition/Competition-Overview/competition-overview,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Della Keats Program - University of Alaska Anchorage,Della Keats Program - University of Alaska Anchorage,Research,Alaska,"Medical, Biology, Chemistry",,"Juniors, Seniors","The Della Keats Program at the University of Alaska Anchorage is a summer program aimed at increasing the representation of Alaska Native and underrepresented students in health careers. It offers intensive residential summer programs for rising 11th and 12th grade students, focusing on preparing and inspiring them to pursue higher education in health professions. Participants engage in health science-related coursework, research projects, and medical or health care professional job shadows....",https://www.uaa.alaska.edu/academics/college-of-health/give/della-keats.cshtml,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Game Design Competition for Girls,Game Design Competition for Girls,Competition,United States,Computer Science,,"Freshmen, Juniors, Seniors, Sophomores","The Game Design Competition for Girls is a national event encouraging female-identifying or gender non-binary students in grades 3-12 to develop their own original games on a browser-based platform. The competition promotes creativity, logical thinking, and coding skills, offering participants the opportunity to win prizes and recognition. Submissions are judged on originality, aesthetics, gameplay, code complexity, and quality. Winners are announced at the Code/Art Fest, where they receive...",https://www.code-art.com/gamedesign/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Doodle for Google,Doodle for Google,Competition,United States,"English Literature Writing, Arts Performance",,"Freshmen, Juniors, Seniors, Sophomores","Doodle for Google is an annual competition inviting students to create their own Google doodle for the chance to have it featured on the Google homepage. The competition encourages creativity and innovation, allowing students to express themselves through art and design. While the specific details of the competition, such as themes and submission guidelines, are updated annually, the contest typically offers various prizes, including scholarships and technology grants for winning entries....",https://doodles.google.com/d4g/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
ArtWorks Summer Internship,ArtWorks Summer Internship,Internship,Florida,Arts Performance,,"Freshmen, Juniors, Seniors, Sophomores","ArtWorks offers a six-week paid summer internship program for high school students interested in the arts. Interns work alongside a Project Facilitator in an artistic co-op of their choice, creating art while learning key workforce development skills. The program, run by Arts For Learning Miami (A4L), aims to provide a professional arts experience and enhance students' understanding of the arts industry. The application process opens in late Spring, and students are encouraged to sign up for...",https://a4lmiami.org/artworks-application/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Young Scholars Program-REACH,Young Scholars Program-REACH,Summer Program,United States,"Engineering, Computer Science, Biology",,"Freshmen, Juniors, Seniors, Sophomores","The Young Scholars Program-REACH, sponsored by the Center for Neurotechnology at the University of Washington, is a five-day summer program aimed at high school students, including graduating seniors. The program offers an introduction to neuroscience and neural engineering, neuroethics, scientific communication, and brain-computer interfaces. Participants will also tour CNT partner labs in departments such as Computer Science and Electrical Engineering. With a program cost of $500 for...",https://centerforneurotech.uw.edu/content/young-scholars-program,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Leadership Development Center (LDC) - American Red Cross,Leadership Development Center (LDC) - American Red Cross,Volunteering,United States,Medical,,"Freshmen, Juniors, Seniors, Sophomores","The Leadership Development Center (LDC) by the American Red Cross Northern California Coastal Region is a 4-day conference designed for youth ages 13-18. The conference focuses on developing core leadership skills such as teamwork, public speaking, and diversity awareness. Participants will engage in workshops on Red Cross topics like disaster preparedness and international services, aiming to cultivate a deeper understanding of community needs and foster young leaders.",https://www.redcross.org/local/california/northern-california-coastal/volunteer/leadership-development-center.html,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Mountains to Sound Greenway Trust Volunteer Program,Mountains to Sound Greenway Trust Volunteer Program,Volunteering,United States,"Environmental Science, Biology",,"Freshmen, Juniors, Seniors, Sophomores","The Mountains to Sound Greenway Trust Volunteer Program invites individuals to participate in environmental volunteer events within the Mountains to Sound Greenway National Heritage Area. Volunteers can engage in various activities such as restoration events, native plant nursery events, trail maintenance and construction, and the Trailhead Ambassador Program. The program emphasizes the importance of long-term care and protection for public lands, offering benefits to wildlife, forest health,...",https://mtsgreenway.org/get-involved/volunteer/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
National Cyber Cup by CYBER.ORG,National Cyber Cup by CYBER.ORG,Competition,United States,Computer Science,,"Freshmen, Juniors, Seniors, Sophomores","The National Cyber Cup (NCC) by CYBER.ORG is a free, jeopardy-style, Capture The Flag (CTF) competition designed for students interested in cybersecurity. Open to 4th-12th grade students in the United States or territories, the competition is divided into two divisions: intermediate (4-8 grade) and high school (9-12 grade). The competition aims to introduce students to the field of cybersecurity and provide a glimpse into the daily work of cybersecurity professionals. Teams must be registered...",https://cyber.org/national-cyber-cup,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Summer Linguistic Institute for Youth Scholars (SLIYS),Summer Linguistic Institute for Youth Scholars (SLIYS),Summer Program,United States,General,,"Freshmen, Juniors, Seniors, Sophomores","The Summer Linguistic Institute for Youth Scholars (SLIYS) is an online summer program hosted by The Ohio State University's Department of Linguistics. Designed for high school students with an interest in foreign languages, SLIYS offers a deep dive into the scientific study of language. Participants will explore linguistic concepts such as phonetics, phonology, syntax, and semantics across two sessions. The program also includes consultations with native speakers of various languages,...",https://linguistics.osu.edu/undergrad/sliys,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Annenberg Youth Academy for Media and Civic Engagement,Annenberg Youth Academy for Media and Civic Engagement,Summer Program,United States,"English Literature Writing, Political Science",,"Freshmen, Juniors, Seniors, Sophomores","The Annenberg Youth Academy for Media and Civic Engagement at USC Annenberg School for Communication and Journalism is a four-week summer intensive program for high school students in Los Angeles County. It offers college-level courses in media communications and journalism, aiming to develop civic-minded thought leaders and innovators. The program includes writing, critical thinking, public speech, multimedia production, and more. Students also have opportunities to explore careers in media...",https://annenberg.usc.edu/about/annenberg-youth-academy,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Garden Apprentice Program - Brooklyn Botanic Garden,Garden Apprentice Program - Brooklyn Botanic Garden,Volunteering,United States,"Environmental Science, Biology",,"Freshmen, Juniors, Sophomores","The Garden Apprentice Program (GAP) at Brooklyn Botanic Garden is a comprehensive program for teens interested in urban agriculture and environmentalism. Running from March to November, GAP offers a four-tier program where apprentices learn about botany, environmentalism, and gardening through hands-on sessions. Participants grow and harvest fruits, vegetables, and herbs, facilitate lessons for children, and explore the garden's collections. The program includes spring training, summer...",https://www.bbg.org/learn/gap,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Twisted Spruce Music Symposium,Twisted Spruce Music Symposium,Competition,United States,Arts Performance,,"Freshmen, Juniors, Seniors, Sophomores","The Twisted Spruce Music Symposium is a unique online event designed for musicians interested in composition and guitar. Taking place over two one-week sessions in July and August, the symposium focuses on music composition, performance, career skills, and collaborative project development. Participants, who can be composers, guitarists, or auditors, engage in core classes, workshops, and individual consultations. The event culminates in a competition with significant prizes, including cash and...",https://www.twistedsprucemusic.org/symposium,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
USA Biolympiad,USA Biolympiad,Competition,United States,Biology,,"Freshmen, Juniors, Seniors, Sophomores","The USA Biolympiad (USABO) is the premier biology competition for high school students in the United States, engaging nearly 10,000 talented students annually. Open to every school in the USA, USABO offers students beyond classroom experiences to reach international competitiveness in biology. The competition includes two rounds of exams, leading to a residential training program for twenty finalists who learn advanced biological concepts and lab skills. Ultimately, four students represent the...",https://www.cee.org/programs/usa-biolympiad,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Sound Generations Volunteer Opportunities,Sound Generations Volunteer Opportunities,Volunteering,Washington,General,,"Freshmen, Juniors, Seniors, Sophomores","Sound Generations offers a variety of volunteer opportunities aimed at supporting the aging community in King County. Volunteers play a crucial role in providing low-cost and free services, including Meals on Wheels, community dining, transportation, minor home repair, and assistance services. Volunteers of all ages, backgrounds, skills, and interests are welcome, sharing a common goal to improve the quality of life for the elderly. This program not only aids in addressing the urgent needs of...",https://soundgenerations.org/get-involved/volunteer/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Student Assistant Program - The Seattle Public Library,Student Assistant Program - The Seattle Public Library,Internship,United States,General,,"Freshmen, Juniors, Seniors, Sophomores","The Student Assistant Program at The Seattle Public Library offers high school, G.E.D., undergraduate, and vocational school students the opportunity to gain work experience in a public library setting. Participants work 12 to 15 hours per week in temporary positions that can last up to two years if they are enrolled in school. The program is designed to help students develop job skills and is available at the Central Library and branches throughout Seattle. Eligibility requires students to be...",https://www.spl.org/about-us/library-careers/student-assistant-program,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Boyce Thompson Institute High School Research Internships,Boyce Thompson Institute High School Research Internships,Internship,United States,"Computer Science, Biology",,"Juniors, Seniors","The Boyce Thompson Institute offers high school summer research internships in plant science research and computational biology, requiring no prior lab experience. This six-week program, open to students at least 16 years of age, provides an opportunity to work alongside mentors on pre-determined projects, participate in professional development lectures, and present findings at a scientific symposium. The program aims to expose students to scientific discovery and research skills, fostering...",https://btiscience.org/education-outreach/high-school-research-internships/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
The Seacole Scholars Program,The Seacole Scholars Program,Internship,United States,Medical,,"Juniors, Seniors, Sophomores","The Seacole Scholars Program, named after pioneering nurse Mary Seacole, is a summer employment and internship opportunity for high school students with Certified Nursing Assistant (CNA) licenses. Run by Rhode Island Hospital's nursing department, the program is part of the Lifespan Summer Employment Program. Over seven weeks, scholars work as CNAs on nursing units, attend Lifespan Workforce and Youth Development training, and explore career options in healthcare. This paid program aims to...",https://www.lifespan.org/about-lifespan/lifespan-careers/youth-cna-seacole-scholars,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Project Success - Harvard Medical School,Project Success - Harvard Medical School,Internship,United States,"Medical, Biology, Chemistry",,"Juniors, Seniors","Project Success at Harvard Medical School offers a unique opportunity for Boston and Cambridge high school students, particularly those underrepresented in medicine or from disadvantaged backgrounds, to engage in paid, mentored summer research internships in biomedical fields. The program runs from July 8 to August 16, 2024, and includes seminars, workshops, site visits, and career guidance, aiming to nurture interest and aptitude in biomedical careers. Eligible students must be juniors or...",https://dicp.hms.harvard.edu/dicp-programs/k-12/high-school-programs/project-success,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
JQA International Environmental Children's Drawing Contest,JQA International Environmental Children's Drawing Contest,Competition,United States,"Environmental Science, Arts Performance",,"Freshmen, Juniors, Seniors, Sophomores","The JQA International Environmental Children's Drawing Contest is an annual event that encourages children worldwide to express their awareness and thoughts about the global environment through art. The contest, now in its 24th iteration, is open to children of various ages from around the globe, showcasing a diverse range of perspectives on the theme of Earth's environment. Participants have the opportunity to have their work exhibited and to win awards. The contest aims to foster a deeper...",https://childrens-drawing.com/en/index.html,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
National Robotics Challenge (NRC),National Robotics Challenge (NRC),Competition,United States,"Engineering, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","The National Robotics Challenge (NRC) is a unique robotics competition that encourages innovation and engineering without the constraints of a specific kit. Starting in 1986, it is known as the world's first robotics competition and promotes open robotics. The NRC is open to students from 6th grade through graduate school, making it accessible for high school students of all grades. The competition emphasizes using the best materials and equipment for the given problem, rather than assembling...",https://www.thenrc.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Center for Science Teaching & Learning - Discovery Summer Program,Center for Science Teaching & Learning - Discovery Summer Program,Summer Program,United States,Biology,,"Freshmen, Juniors, Seniors, Sophomores","The Center for Science Teaching & Learning (CSTL) offers the Discovery Summer Program, a full-day summer science program for children aged 5-12. This program provides an immersive experience with dinosaurs, nature, live animals, and more, aiming to grow minds scientifically and through nature. Located at Tanglewood Preserve in Rockville Centre, NY, CSTL is dedicated to science literacy and offers various educational programs for kids, schools, and families. The Discovery Summer Program is...",https://cstl.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Habitat for Humanity Youth Programs,Habitat for Humanity Youth Programs,Volunteering,United States,Public Administration,,"Freshmen, Juniors, Seniors, Sophomores","Habitat for Humanity Youth Programs offer volunteer opportunities for individuals aged 5 to 40, aiming to instill a love of volunteering from an early age. Participants can engage in various activities, including building homes, supporting awareness-raising events, and acting as leaders, volunteers, advocates, educators, and donors. The program emphasizes meeting and working with diverse groups, understanding the needs of others, strengthening neighborhoods, and participating in meaningful...",https://www.habitat.org/volunteer/near-you/youth-programs,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
GRC Social Impact Essay Competition,GRC Social Impact Essay Competition,Internship,United States,"English Literature Writing, Environmental Science, Public Administration",,"Freshmen, Juniors, Seniors, Sophomores","The GRC Social Impact Essay Competition is an annual event inviting high school students worldwide to propose solutions for social good. The competition focuses on topics such as Sustainable Development, Global Health, and Technology for Good. Participants are required to write an argumentative essay identifying a global problem and offering a solution. Awards include internships at GRC university branches, Ivy League mentorship, and publication opportunities. The competition encourages...",https://www.grcglobalgroup.com/essay-competition,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Volunteer at Acres of Diamonds,Volunteer at Acres of Diamonds,Volunteering,United States,General,,"Freshmen, Juniors, Seniors, Sophomores","Acres of Diamonds offers a wide range of volunteer opportunities aimed at supporting women and children experiencing homelessness. Volunteers can engage in various activities, including working with children through games, arts, and music, hosting community dinners, performing maintenance and repair tasks, preparing rooms for new families, teaching life and relational skills workshops, providing office support, and participating in event/fundraising efforts. These opportunities are designed to...",https://www.acresofdiamonds.org/volunteer/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Judicial Youth Corps Program - Massachusetts,Judicial Youth Corps Program - Massachusetts,Internship,"Massachusetts, Illinois",Law,,"Freshmen, Juniors, Seniors, Sophomores","The Judicial Youth Corps (JYC) Program, offered by the Massachusetts Supreme Judicial Court, is a summer internship designed to educate high school students about the Massachusetts court system and the rule of law. This six-week program combines paid internships at local courthouses with educational sessions every Friday. Participants are mentored by judges, lawyers, clerks, probation officers, and other court personnel through interactive learning techniques such as mock trials, group...",https://www.mass.gov/info-details/judicial-youth-corps-program,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Kaiser Permanente Internship Opportunities,Kaiser Permanente Internship Opportunities,Internship,United States,"Business, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","Kaiser Permanente offers internship opportunities for high school students interested in revolutionizing the future of care. Interns can engage in a variety of tasks, from analyzing financial software and designing mobile apps to performing research and clinical process improvement. The program aims to develop skills and confidence within an innovative team environment, supported by KP leaders, professional workshops, and mentoring. Internships are available across the organization, including...",https://www.kaiserpermanentejobs.org/internship-opportunities,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Northwest Youth Corps - Youth Community Program,Northwest Youth Corps - Youth Community Program,Volunteering,New York,"Environmental Science, Biology",,"Juniors, Seniors, Sophomores","The Northwest Youth Corps' Youth Community Program is a non-residential, day program designed for 15 to 18-year-olds. Participants engage in conservation projects within their local communities, such as tree planting, invasive plant removal, and trail construction. The program runs Monday through Friday, with each day consisting of 6.5 hours of work and an hour of educational lessons. Participants earn a stipend and may receive high school credit. The program aims to develop job skills,...",https://www.nwyouthcorps.org/community/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
2022 NASA Langley Student Art Contest,2022 NASA Langley Student Art Contest,Competition,United States,"Arts Performance, Engineering",,"Freshmen, Juniors, Seniors, Sophomores","The 2022 NASA Langley Student Art Contest, themed ""Drawn to Explore,"" invites students in grades K-12 to creatively visualize NASA’s science, technology, aeronautical, and human exploration activities. This annual contest encourages students to express their imagination and understanding of NASA's missions through art. Participants are asked to submit print or digital artwork inspired by NASA and its various missions, including deep space exploration, Earth and climate studies, aerial vehicles,...",https://www.nasa.gov/centers-and-facilities/langley/drawn-to-explore-the-theme-for-2022-nasa-langley-student-art-contest/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
AmeriCorps Volunteer Opportunities,AmeriCorps Volunteer Opportunities,Volunteering,United States,General,,"Freshmen, Juniors, Seniors, Sophomores","AmeriCorps offers a wide range of volunteer opportunities across the United States, encouraging individuals to contribute to their communities and tackle the nation's most pressing challenges. Volunteers play a crucial role in supporting schools, shelters, hospitals, and various civic, nonprofit, and faith-based organizations. AmeriCorps provides a platform to find volunteer opportunities through organizations such as AmeriCorps, California Volunteers, Idealist, JustServe, MENTOR,...",https://www.americorps.gov/serve/volunteer,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Idyllwild Arts Summer Program,Idyllwild Arts Summer Program,Summer Program,California,"English Literature Writing, Arts Performance",,"Freshmen, Juniors, Seniors, Sophomores","The Idyllwild Arts Summer Program offers a diverse range of artistic workshops for children, teens, and adults. For high school students (ages 13-17), the program provides immersive intensives and workshops in Visual Arts, Native American Arts, Fashion Design, Music, Dramatic Arts, Film & Digital Media, Dance, and Creative Writing. Taught by renowned teaching artists, these programs aim to build skill, confidence, and creativity in a supportive environment. Registration for Summer 2024 is now...",https://idyllwildarts.org/summer/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
NCF-Envirothon,NCF-Envirothon,Competition,United States,"Environmental Science, Biology",,"Freshmen, Juniors, Seniors, Sophomores","NCF-Envirothon is North America's largest high school environmental education competition, engaging over 25,000 students annually from the United States, Canada, China, and Singapore. It is a program of the National Conservation Foundation (NCF) designed to challenge students to develop solutions to environmental and natural resource issues through a blend of STEM principles, hands-on learning, and outdoor field experiences. The competition covers areas such as Aquatic Ecology, Forestry, Soils...",https://envirothon.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
North American Computational Linguistics Open Competition (NACLO),North American Computational Linguistics Open Competition (NACLO),Competition,United States,Computer Science,,"Freshmen, Juniors, Seniors, Sophomores","The North American Computational Linguistics Open Competition (NACLO) is a contest designed for high school students to solve linguistic problems, fostering an interest in linguistics, computational linguistics, and language technologies. No prior knowledge of linguistics or second languages is required. The competition involves solving problems created by professionals in the field, using a variety of languages to highlight cutting-edge issues. The NACLO provides students with an opportunity...",https://naclo.org/index.php,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Coastal Ocean Science Academy - Northeastern University,Coastal Ocean Science Academy - Northeastern University,Research,United States,"Environmental Science, Biology",,"Freshmen, Juniors, Seniors, Sophomores","The Coastal Ocean Science Academy (COSA) at Northeastern University is a marine and environmental science summer day program for high school students. It aims to introduce young people to local coastal habitats and the factors that shape them through hands-on learning and fieldwork. The program includes exploring rocky shores and tidepools, meeting scientists, touring labs, and visiting coastal habitat field sites. Running from August 12 to August 16, 2024, COSA offers an immersive experience...",https://cos.northeastern.edu/marinescience/outreach/coastal-ocean-science-academy/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Research Science Institute (RSI) at MIT,Research Science Institute (RSI) at MIT,Research,United States,"Mathematics, Data Science, Environmental Science",,Juniors,"The Research Science Institute (RSI) at MIT is a prestigious summer program that brings together 100 of the world's most accomplished high school juniors to engage in scientific research. This cost-free program combines on-campus coursework in scientific theory with off-campus work in science and technology research. Participants experience the entire research cycle, from reading current literature to delivering conference-style oral and written reports on their findings. The program includes a...",https://www.cee.org/programs/research-science-institute,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Summer STEM 2024 - The Cooper Union,Summer STEM 2024 - The Cooper Union,Summer Program,United States,"Mathematics, Environmental Science, Engineering",,"Freshmen, Juniors, Seniors, Sophomores","Summer STEM 2024 at The Cooper Union offers high school students a unique opportunity to explore engineering through college-level classes and activities. The program includes courses such as Intro to Engineering, Sustainable Futures, Digital Electronics for the Inventor, Design and Drawing for Engineering, and Linear Algebra for Engineering Research. These courses are designed for students in grades 9 through 12 and aim to provide a comprehensive introduction to various engineering...",https://cooper.edu/engineering/stem/summer,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
The Iowa Review Awards,The Iowa Review Awards,Competition,Iowa,English Literature Writing,,"Freshmen, Juniors, Seniors, Sophomores","The Iowa Review Awards is an annual writing contest held in January, inviting submissions in poetry, fiction, and creative nonfiction. Winners receive $1,500, and first runners-up receive $750, with both winners and runners-up being published in the December issue of The Iowa Review. The contest is judged by notable figures in each genre, for the 2024 Awards: Terrance Hayes (poetry), Sarah Viren (nonfiction), and Sequoia Nagamatsu (fiction). The contest rules allow for up to 25 pages of prose...",https://iowareview.org/rules,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Washington Business Week 2024 Programs,Washington Business Week 2024 Programs,Competition,United States,"Business, Medical",,"Freshmen, Juniors, Seniors, Sophomores","Washington Business Week offers both traditional and virtual programs in summer 2024, focusing on Business, Advanced Business, and Healthcare pathways. Students engage in a dynamic simulation, role-playing as industry professionals, launching a company, and developing a world-changing idea to pitch to investors. Guided by a mentor from local businesses, students gain insights into working as a team, exploring careers, and building a professional network. The program includes creating a...",https://www.wbw.org/our-programs/summer/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Wharton High School Data Science Competition,Wharton High School Data Science Competition,Competition,United States,"Mathematics, Data Science, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","The Wharton High School Data Science Competition, hosted by the Wharton Sports Analytics and Business Initiative in conjunction with Wharton Global Youth, is a unique opportunity for high school students worldwide to engage in sports analytics. Teams of 3-5 students analyze data from a simulated professional soccer league to make win-loss predictions about the league’s playoffs. This competition is free and aims to develop data analysis and prediction skills through sports analytics....",https://wsb.wharton.upenn.edu/wharton-data-competition/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Smithsonian Environmental Research Center Volunteer Projects,Smithsonian Environmental Research Center Volunteer Projects,Research,United States,"Environmental Science, Biology",,"Freshmen, Juniors, Seniors, Sophomores","The Smithsonian Environmental Research Center (SERC) offers a variety of volunteer projects focused on understanding ecosystems for a sustainable future. These projects include tracking Chesapeake Bay otters, collecting water quality data, environmental archaeology, and more. Volunteers can also engage in lab work or participate in seasonal projects like bluebird monitoring and oyster reef monitoring. The projects are open to individuals aged 16 and above, making them accessible to high school...",https://serc.si.edu/participatory-science/projects,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
=======
title,organization,category,location,grade_level,deadline,deadline_date,is_active,description,link,subject_area,timeline
StandOut Connect,StandOut Connect,Internship,Virtual,High School,Various,,True,"Connect is funded by StandOutSearch, the largest free database for high school internships. The program has been featured in Forbes and was created with the help of investment from The University of...",https://www.standoutconnect.org/,Computer Science,"Summer, spring, fall, or winter"
